rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,cptac_train_n,cptac_train_events,cptac_cox_z,cptac_cox_p,meta_cox_z,meta_cox_p,direction
11384,ENSG00000163812.15,91,50,1.12605219037159,0.26014342900922427,87,70,-0.0018604377832124352,0.9985155862727565,0.7949236116092312,0.426657938475561,higher_expr_higher_risk
11385,ENSG00000081320.11,91,50,-0.9225544114184037,0.35623946253303496,87,70,-0.2012689030108924,0.8404883167985858,-0.7946630864884968,0.4268095103152272,higher_expr_lower_risk
11386,ENSG00000161958.11,91,50,-0.26930186200759043,0.7876973994201835,87,70,-0.8541334238064108,0.3930310663673552,-0.7943887088233273,0.4269691754066012,higher_expr_lower_risk
11387,ENSG00000185761.11,91,50,0.43014281006378685,0.6670917604559331,87,70,0.6930523610833134,0.4882766923759868,0.7942189221140993,0.42706799465118217,higher_expr_higher_risk
11388,ENSG00000110799.14,91,50,-0.6345680632545458,0.5257101628178462,87,70,-0.48836196909608576,0.6252934748064192,-0.7940314406731608,0.4271771280639136,higher_expr_lower_risk
11389,ENSG00000147140.17,91,50,0.6681925750073494,0.5040106744193931,87,70,0.454626103202312,0.6493782521852123,0.7939527014049675,0.4272229672324718,higher_expr_higher_risk
11390,ENSG00000100095.19,91,50,-0.815467613207235,0.4148046957095245,87,70,-0.30729569087406067,0.7586183153093318,-0.7939135459832978,0.4272457631768565,higher_expr_lower_risk
11391,ENSG00000078549.15,91,50,-1.4365847481415075,0.15083601987445105,87,70,0.31413460277604177,0.7534188095446926,-0.7936921093317467,0.4273746949962838,higher_expr_lower_risk
11392,ENSG00000196735.13,91,50,0.4081950319213245,0.6831304952573047,87,70,-1.5305755105289676,0.12587433805788587,-0.793642847494867,0.42740338085563023,higher_expr_lower_risk
11393,ENSG00000174243.10,91,50,0.9113085439305241,0.3621328259169958,87,70,0.21092084546106218,0.8329490376995371,0.7935360112856291,0.427465596934112,higher_expr_higher_risk
11394,ENSG00000163141.20,91,50,-1.5573168979461536,0.11939526540703464,87,70,0.4358214160521476,0.6629663043758123,-0.7930170603173264,0.4277678831240278,higher_expr_lower_risk
11395,ENSG00000173706.14,91,50,0.43371976418109964,0.664491952632163,87,70,0.6876051371991778,0.49170147228357153,0.7928964416793308,0.4278381606639614,higher_expr_higher_risk
11396,ENSG00000033011.13,91,50,2.0468672204518206,0.040671123352396386,87,70,-0.9256575349101279,0.35462398298535447,0.7928149717785674,0.4278856322905531,higher_expr_higher_risk
11397,ENSG00000188051.7,91,50,0.052812869126100094,0.9578810077316522,87,70,1.0682851895697458,0.28539188714725383,0.7927360396789067,0.4279316280925294,higher_expr_higher_risk
11398,ENSG00000151632.17,91,50,-1.1746627840348491,0.24012965412280124,87,70,0.05375459273955259,0.9571306869229094,-0.7926017831524519,0.42800986949821607,higher_expr_lower_risk
11399,ENSG00000164402.14,91,50,0.7366817658086879,0.4613158980278318,87,70,0.384156969443779,0.700862109275157,0.7925526703135727,0.42803849333435284,higher_expr_higher_risk
11400,ENSG00000071246.11,91,50,-0.7533867659284745,0.45121753303986667,87,70,-0.36743639130654404,0.7132935307278165,-0.7925416549917975,0.42804491341280204,higher_expr_lower_risk
11401,ENSG00000148229.13,91,50,0.04317158772583025,0.9655647536752479,87,70,1.0775802008277346,0.28122114188528347,0.7924911897131773,0.4280743268922882,higher_expr_higher_risk
11402,ENSG00000101000.6,91,50,0.7262759572241654,0.46766961540435714,87,70,-1.8468531757145707,0.0647684226003038,-0.792367750037725,0.42814627815576156,higher_expr_lower_risk
11403,ENSG00000186184.19,91,50,-0.08677554062219028,0.9308499300259065,87,70,-1.0337572662363375,0.3012496539854064,-0.7923363462716609,0.42816458409557767,higher_expr_lower_risk
11404,ENSG00000196976.7,91,50,-1.0482390328244549,0.2945284911113363,87,70,-0.07215129011386372,0.9424815089433629,-0.7922355949254709,0.4282233173264324,higher_expr_lower_risk
11405,ENSG00000188338.15,91,50,0.8590768056578005,0.3902981429167366,87,70,0.26125595308395594,0.7938951315797929,0.7921948908917282,0.4282470471669205,higher_expr_higher_risk
11406,ENSG00000186523.14,91,50,0.04390120601091926,0.9649831539716796,87,70,1.0758797013008727,0.28198106122751654,0.7918046730033929,0.4284745771648759,higher_expr_higher_risk
11407,ENSG00000101310.17,91,50,0.4914528812992483,0.6231061703127893,87,70,0.6282925980467436,0.5298122796804909,0.7917796216485321,0.4284891866233169,higher_expr_higher_risk
11408,ENSG00000070081.17,91,50,1.1256781243848786,0.2603017864386328,87,70,-0.005959319503108472,0.9952451791189748,0.7917607599539963,0.42850018658457867,higher_expr_higher_risk
11409,ENSG00000205883.2,91,50,0.2556343447270052,0.7982331960694592,87,70,0.8633878115406727,0.3879242785469348,0.7912681549948675,0.4287875272870366,higher_expr_higher_risk
11410,ENSG00000163012.4,91,50,-0.8795787912202898,0.3790875324070877,87,70,-0.2394333866968499,0.810769543910254,-0.7912610992355369,0.42879164378586,higher_expr_lower_risk
11411,ENSG00000089558.9,91,50,-1.6539991026808227,0.09812769502584177,87,70,0.5349881238290474,0.5926580695867042,-0.7912602513682867,0.4287921384534483,higher_expr_lower_risk
11412,ENSG00000204548.4,91,50,-1.1188024746693555,0.26322441573936567,87,70,-1.1610990315520311e-10,0.9999999999073577,-0.791112816729094,0.42887816066481743,higher_expr_lower_risk
11413,ENSG00000254732.2,91,50,-0.09192265170149207,0.9267594941986181,87,70,-1.0267560384496555,0.3045353546448433,-0.7910252877747611,0.42892923505340763,higher_expr_lower_risk
11414,ENSG00000197345.13,91,50,-0.042486834253916875,0.9661106070174639,87,70,1.1611169140625608,0.24559435716477584,0.790990915071941,0.4289492929809806,higher_expr_higher_risk
11415,ENSG00000106635.8,91,50,-0.6138672980033681,0.539303021546216,87,70,-0.503620784552409,0.6145278840323243,-0.7901834010703425,0.42942066847532245,higher_expr_lower_risk
11416,ENSG00000157326.19,91,50,0.06190106658585169,0.9506416181161172,87,70,-1.1793100086579922,0.23827475429827832,-0.7901274402976965,0.4294533459766957,higher_expr_lower_risk
11417,ENSG00000186104.11,91,50,-0.8799266336750019,0.37889905542478886,87,70,-0.23737654712849118,0.8123646825143562,-0.790052655787449,0.4294970175889802,higher_expr_lower_risk
11418,ENSG00000160072.20,91,50,-0.6890226510872207,0.4908090134140891,87,70,-0.4280592381480795,0.66860799250685,-0.7898961790189606,0.4295884030514341,higher_expr_lower_risk
11419,ENSG00000047188.16,91,50,-0.12562063674761803,0.9000322266006913,87,70,1.2423373465517646,0.21411212152389925,0.7896379581668419,0.42973923372940515,higher_expr_higher_risk
11420,ENSG00000180891.13,91,50,-0.7165029601028365,0.47368084037588165,87,70,-0.39960707546323443,0.6894459442645074,-0.7892089746991274,0.4299898774074574,higher_expr_lower_risk
11421,ENSG00000100994.12,91,50,0.01640315754912157,0.986912760729007,87,70,1.0996100593420965,0.2715020571738976,0.7891405135575934,0.430029885292723,higher_expr_higher_risk
11422,ENSG00000135473.15,91,50,-0.3938875685151396,0.6936640488800433,87,70,-0.721615746064246,0.47053075549661094,-0.788779958175154,0.43024062528090345,higher_expr_lower_risk
11423,ENSG00000120458.13,91,50,-1.7459271915599934,0.08082360422907985,87,70,0.6305568147528583,0.5283303432050699,-0.7886859569749199,0.4302955776260997,higher_expr_lower_risk
11424,ENSG00000132591.12,91,50,-0.5604838247667902,0.5751494696157338,87,70,1.6756800539138508,0.09380087880661328,0.7885628159835534,0.43036757102305234,higher_expr_higher_risk
11425,ENSG00000132464.13,91,50,0.07751829238499591,0.9382112398394397,87,70,-1.1926405618697515,0.2330101730713136,-0.7885105186048033,0.4303981483828675,higher_expr_lower_risk
11426,ENSG00000151014.6,91,50,-0.2857272225820982,0.7750870529161238,87,70,-0.8293639854876397,0.4068984741487137,-0.788488554867611,0.43041099057064736,higher_expr_lower_risk
11427,ENSG00000104518.11,91,50,-0.7011773274462607,0.48319235725137866,87,70,-0.413891987557526,0.6789532120980053,-0.788473074132216,0.43042004228366126,higher_expr_lower_risk
11428,ENSG00000171517.6,91,50,0.7578683830755015,0.4485297795138873,87,70,0.3571854537475417,0.7209529748482614,0.7884621294056517,0.4304264418217606,higher_expr_higher_risk
11429,ENSG00000163993.7,91,50,0.8527827697505517,0.3937797806945583,87,70,0.2622632379436915,0.7931185021615883,0.7884565933755866,0.4304296788387202,higher_expr_higher_risk
11430,ENSG00000126756.12,91,50,-0.8871627080385758,0.3749913067546845,87,70,-0.2278121654329669,0.8197922687093434,-0.7884062938843407,0.4304590905088662,higher_expr_lower_risk
11431,ENSG00000168038.11,91,50,-1.4238349076932155,0.1544942681164921,87,70,0.3093225748209851,0.7570761602244036,-0.7880792282899928,0.43065036433873793,higher_expr_lower_risk
11432,ENSG00000169047.5,91,50,0.2189337685667071,0.8267016410022032,87,70,0.895526709704619,0.3705055943071306,0.7880425615500576,0.4306718107802693,higher_expr_higher_risk
11433,ENSG00000137270.11,91,50,-0.24090897320131793,0.8096256673274977,87,70,-0.8734690829952058,0.38240745079005467,-0.7879842803420454,0.4307059008380245,higher_expr_lower_risk
11434,ENSG00000186480.13,91,50,0.42166241471758786,0.6732714420396669,87,70,-1.5360042066748432,0.12453734862340207,-0.7879586376525441,0.4307209003498942,higher_expr_lower_risk
11435,ENSG00000091428.18,91,50,-1.0650240909898305,0.28686502802642894,87,70,-0.04920700200480252,0.9607543312353286,-0.7878803616654037,0.43076668921568695,higher_expr_lower_risk
11436,ENSG00000197046.12,91,50,0.014153039230794178,0.9887078854950269,87,70,-1.128272639380392,0.25920479479152325,-0.7878015243186253,0.43081280931275145,higher_expr_lower_risk
11437,ENSG00000230778.1,91,50,-0.7908459700689979,0.42903388052619207,87,70,-0.3229852080166545,0.7467064445072221,-0.7875975791213659,0.4309321311875255,higher_expr_lower_risk
11438,ENSG00000150676.13,91,50,-0.7463390249842358,0.4554626428711248,87,70,1.8600600551455786,0.06287702978678716,0.7875196927771528,0.4309777050783685,higher_expr_higher_risk
11439,ENSG00000104529.17,91,50,0.15038574985525044,0.8804602833822519,87,70,0.9631403279477637,0.335477105984376,0.7873818406425703,0.4310583738001851,higher_expr_higher_risk
11440,ENSG00000184489.12,91,50,-0.5483215074965249,0.5834711619824697,87,70,-0.5651825449000268,0.5719496079435396,-0.7873662663283024,0.4310674881742351,higher_expr_lower_risk
11441,ENSG00000258472.9,91,50,-0.752276084024234,0.45188504711854083,87,70,-0.36070528107771904,0.7183197764094208,-0.7869966705978517,0.4312838151632319,higher_expr_lower_risk
11442,ENSG00000081277.13,91,50,0.13519672182005468,0.8924563389073401,87,70,-1.2480680542555593,0.2120061359793454,-0.7869188657532539,0.4313293629066609,higher_expr_lower_risk
11443,ENSG00000188505.5,91,50,1.617363640709396,0.10579980933478732,87,70,-0.5045374287705647,0.6138837671778037,0.7868869607440858,0.4313480412281847,higher_expr_higher_risk
11444,ENSG00000166073.11,91,50,-0.641925973485759,0.5209212489360189,87,70,1.7543531408954691,0.07937001533180615,0.7866047936515488,0.4315132522423617,higher_expr_higher_risk
11445,ENSG00000198876.13,91,50,-0.14099435102211325,0.8878744049946778,87,70,-0.9710466707194755,0.3315250384027248,-0.7863317474310944,0.4316731578297802,higher_expr_lower_risk
11446,ENSG00000164615.6,91,50,-1.6028864275959638,0.10895973070797643,87,70,2.7147514190559154,0.006632553423053411,0.7862072752252545,0.4317460645792174,higher_expr_higher_risk
