gene_id,gene_symbol,rank,pattern
ENSG00000151746.15,BICD1,34.4327024840953,CUG
ENSG00000196154.12,S100A4,34.427658448995,CUG
ENSG00000139926.16,FRMD6,34.2342629581488,CUG
ENSG00000173917.10,HOXB2,34.2257450820249,CUG
ENSG00000117707.16,PROX1,-34.1996325344712,CDG
ENSG00000096433.11,ITPR3,34.0919166938036,CUG
ENSG00000171241.9,SHCBP1,34.0903865204688,CUG
ENSG00000196482.18,ESRRG,-34.0651523002257,CDG
ENSG00000116132.12,PRRX1,34.0429622265016,CUG
ENSG00000171522.6,PTGER4,-34.0250372349978,CDG
ENSG00000049192.15,ADAMTS6,33.9540704757921,CUG
ENSG00000079689.14,SCGN,-33.9523980216143,CDG
ENSG00000149573.9,MPZL2,33.8945583586117,CUG
ENSG00000197632.9,SERPINB2,33.8722283889236,CUG
ENSG00000134107.5,BHLHE40,33.7842560086783,CUG
ENSG00000087253.13,LPCAT2,33.6170829642239,CUG
ENSG00000132170.23,PPARG,33.4958570217907,CUG
ENSG00000167964.13,RAB26,-33.4781239026001,CDG
ENSG00000187498.16,COL4A1,33.452315562812,CUG
ENSG00000185052.12,SLC24A3,33.4478192759537,CUG
ENSG00000189143.9,CLDN4,33.4376302944222,CUG
ENSG00000157227.13,MMP14,33.4257800744357,CUG
ENSG00000111640.15,GAPDH,33.3739233394293,CUG
ENSG00000111331.13,OAS3,33.2884226988538,CUG
ENSG00000173801.17,JUP,33.2869149666297,CUG
ENSG00000131236.18,CAP1,33.2862836804624,CUG
ENSG00000108511.10,HOXB6,33.2085770973307,CUG
ENSG00000143217.9,NECTIN4,33.1916550497778,CUG
ENSG00000138185.20,ENTPD1,33.1701766898929,CUG
ENSG00000148773.14,MKI67,33.1667143751347,CUG
ENSG00000162849.16,KIF26B,33.1558990322851,CUG
ENSG00000169715.15,MT1E,-33.1220388358291,CDG
ENSG00000164761.9,TNFRSF11B,33.0500410565616,CUG
ENSG00000122952.17,ZWINT,33.0163472653149,CUG
ENSG00000116701.15,NCF2,32.9998183957136,CUG
ENSG00000120075.5,HOXB5,32.975513087933,CUG
ENSG00000164647.9,STEAP1,32.9652796773203,CUG
ENSG00000169908.12,TM4SF1,32.7172967010103,CUG
ENSG00000137872.17,SEMA6D,-32.6955970209961,CDG
ENSG00000163558.13,PRKCI,32.6325045585783,CUG
ENSG00000185010.15,F8,-32.5911570343084,CDG
ENSG00000135069.14,PSAT1,-32.5214641448551,CDG
ENSG00000143476.18,DTL,32.4639163914967,CUG
ENSG00000164946.20,FREM1,-32.4406354527791,CDG
ENSG00000151224.13,MAT1A,-32.4385873033007,CDG
ENSG00000109906.14,ZBTB16,-32.3573367350722,CDG
ENSG00000134871.19,COL4A2,32.3370470004015,CUG
ENSG00000157005.4,SST,-32.3198097874533,CDG
ENSG00000143954.13,REG3G,-32.3016488010752,CDG
ENSG00000095203.14,EPB41L4B,-32.2812031719511,CDG
ENSG00000105675.9,ATP4A,-32.2300166270695,CDG
ENSG00000167460.17,TPM4,32.2282082487548,CUG
ENSG00000163536.13,SERPINI1,-32.2104611251354,CDG
ENSG00000079277.22,MKNK1,-32.1194150718145,CDG
ENSG00000100994.12,PYGB,32.0635360556468,CUG
ENSG00000170312.16,CDK1,31.9944082461534,CUG
ENSG00000175315.3,CST6,31.8972975698583,CUG
ENSG00000163297.17,ANTXR2,31.8940450369602,CUG
ENSG00000198794.12,SCAMP5,-31.8874282626242,CDG
ENSG00000175600.16,SUGCT,31.8774740507384,CUG
ENSG00000113083.15,LOX,31.8534093655005,CUG
ENSG00000162595.7,DIRAS3,-31.8269672871374,CDG
ENSG00000144354.14,CDCA7,31.7130214004025,CUG
ENSG00000005020.13,SKAP2,31.6733161466231,CUG
ENSG00000115170.15,ACVR1,31.6596597936406,CUG
ENSG00000163884.4,KLF15,-31.6425795364642,CDG
ENSG00000148053.17,NTRK2,-31.5983495739934,CDG
ENSG00000072571.20,HMMR,31.5653343492644,CUG
ENSG00000164733.22,CTSB,31.5468324775562,CUG
ENSG00000124731.13,TREM1,31.5411252092573,CUG
ENSG00000071537.14,SEL1L,-31.5285490275435,CDG
ENSG00000070190.13,DAPP1,31.514563080735,CUG
ENSG00000118193.12,KIF14,31.4955153599791,CUG
ENSG00000188042.8,ARL4C,31.4381627371361,CUG
ENSG00000138160.7,KIF11,31.4263749191175,CUG
ENSG00000144645.14,OSBPL10,31.3034600889219,CUG
ENSG00000106018.14,VIPR2,-31.2062444066158,CDG
ENSG00000102144.15,PGK1,31.1825759172591,CUG
ENSG00000198721.13,ECI2,-31.1197680358304,CDG
ENSG00000135318.12,NT5E,31.1116227037776,CUG
ENSG00000005249.13,PRKAR2B,-31.0833126999579,CDG
ENSG00000178821.13,TMEM52,-31.0749463911393,CDG
ENSG00000150593.18,PDCD4,-30.9931476631198,CDG
ENSG00000090661.12,CERS4,-30.9780475816503,CDG
ENSG00000107796.13,ACTA2,30.8833373876705,CUG
ENSG00000064270.13,ATP2C2,30.8582954990176,CUG
ENSG00000134769.21,DTNA,-30.8355588623238,CDG
ENSG00000123609.11,NMI,30.8081331604923,CUG
ENSG00000173848.19,NET1,30.7918276300494,CUG
ENSG00000154096.14,THY1,30.7907324428642,CUG
ENSG00000010438.17,PRSS3,-30.6924828631703,CDG
ENSG00000168785.8,TSPAN5,30.6738530765836,CUG
ENSG00000142627.13,EPHA2,30.6528459304623,CUG
ENSG00000147642.17,SYBU,-30.5963295121434,CDG
ENSG00000171766.17,GATM,-30.580375817237,CDG
ENSG00000187193.9,MT1X,-30.3849440669832,CDG
ENSG00000134986.14,NREP,30.3482113474278,CUG
ENSG00000153246.13,PLA2R1,30.3226545695813,CUG
ENSG00000111424.12,VDR,30.3203340286897,CUG
ENSG00000129993.15,CBFA2T3,-30.319142666724,CDG
ENSG00000121361.5,KCNJ8,-30.3036141418746,CDG
ENSG00000115590.14,IL1R2,30.2770391556151,CUG
ENSG00000164109.14,MAD2L1,30.254538948616,CUG
ENSG00000188001.10,TPRG1,30.2474486402265,CUG
ENSG00000130429.15,ARPC1B,30.180980720549,CUG
ENSG00000153786.13,ZDHHC7,30.1468367398458,CUG
ENSG00000171812.13,COL8A2,30.1335057826444,CUG
ENSG00000188910.8,GJB3,30.1151769363577,CUG
ENSG00000128203.7,ASPHD2,29.9999482506403,CUG
ENSG00000183255.12,PTTG1IP,29.8902361199806,CUG
ENSG00000070214.16,SLC44A1,29.887594661349,CUG
ENSG00000165113.13,GKAP1,-29.8162335753661,CDG
ENSG00000160213.9,CSTB,29.8116891252651,CUG
ENSG00000152422.16,XRCC4,29.7865873093431,CUG
ENSG00000101187.16,SLCO4A1,29.7471341010971,CUG
ENSG00000162241.12,SLC25A45,-29.7249993697721,CDG
ENSG00000126709.15,IFI6,29.6397462115411,CUG
ENSG00000115290.10,GRB14,-29.5649050552159,CDG
ENSG00000204219.11,TCEA3,-29.5468457759924,CDG
ENSG00000143341.12,HMCN1,29.5279755858728,CUG
ENSG00000275385.2,CCL18,29.4388590283912,CUG
ENSG00000130508.11,PXDN,29.4030558452086,CUG
ENSG00000145244.12,CORIN,29.3267048514547,CUG
ENSG00000010278.15,CD9,29.3182033456206,CUG
ENSG00000100116.17,GCAT,-29.2597247755813,CDG
ENSG00000163492.15,CCDC141,-29.1665898976729,CDG
ENSG00000110436.13,SLC1A2,-29.1417552016261,CDG
ENSG00000146555.19,SDK1,-29.1246047267917,CDG
ENSG00000205420.11,KRT6A,29.0599504810306,CUG
ENSG00000137845.15,ADAM10,29.0171116797267,CUG
ENSG00000145113.22,MUC4,29.0138367426481,CUG
ENSG00000156970.13,BUB1B,29.0101819306517,CUG
ENSG00000185479.6,KRT6B,29.0058791857403,CUG
ENSG00000057149.16,SERPINB3,28.9490973049437,CUG
ENSG00000167755.15,KLK6,28.9363102939689,CUG
ENSG00000139946.10,PELI2,-28.8930539118161,CDG
ENSG00000102780.17,DGKH,28.8528539500067,CUG
ENSG00000073605.18,GSDMB,28.8271315014065,CUG
ENSG00000154265.16,ABCA5,-28.801397170199,CDG
ENSG00000126259.20,KIRREL2,-28.7914377843588,CDG
ENSG00000126458.4,RRAS,28.7878986857803,CUG
ENSG00000171303.7,KCNK3,-28.7875983413811,CDG
ENSG00000175426.11,PCSK1,-28.75560924718,CDG
ENSG00000174502.19,SLC26A9,28.7495231976807,CUG
ENSG00000137804.14,NUSAP1,28.6952952454738,CUG
ENSG00000260027.5,HOXB7,28.6808698243776,CUG
ENSG00000174672.16,BRSK2,-28.6651861385612,CDG
ENSG00000177409.12,SAMD9L,28.6158221644812,CUG
ENSG00000179674.4,ARL14,28.6031896122256,CUG
ENSG00000170545.17,SMAGP,28.5690061625264,CUG
ENSG00000080493.18,SLC4A4,-28.5127243832547,CDG
ENSG00000118257.17,NRP2,28.5090792946154,CUG
ENSG00000137203.15,TFAP2A,28.4941258437145,CUG
ENSG00000171877.21,FRMD5,28.4511111735392,CUG
ENSG00000114115.10,RBP1,-28.4327070389778,CDG
ENSG00000117308.15,GALE,28.4305129775916,CUG
ENSG00000185499.16,MUC1,28.4206056425262,CUG
ENSG00000177494.6,ZBED2,28.3962703264105,CUG
ENSG00000085733.16,CTTN,28.390471726994,CUG
ENSG00000092421.17,SEMA6A,-28.381078618245,CDG
ENSG00000147852.16,VLDLR,-28.3292283297004,CDG
ENSG00000116815.16,CD58,28.3041363990055,CUG
ENSG00000148468.17,FAM171A1,-28.2310446714821,CDG
ENSG00000173376.14,NDNF,28.2181085079394,CUG
ENSG00000136068.15,FLNB,28.2157167262486,CUG
ENSG00000164038.16,SLC9B2,28.1928991665272,CUG
ENSG00000075624.17,ACTB,28.1824168479605,CUG
ENSG00000095321.17,CRAT,-28.1657669192298,CDG
ENSG00000147168.13,IL2RG,28.1444879113519,CUG
ENSG00000174992.8,ZG16,-28.1216971726609,CDG
ENSG00000133065.11,SLC41A1,-28.112336019448,CDG
ENSG00000059728.11,MXD1,28.0755582179031,CUG
ENSG00000205502.4,C2CD4B,-27.9285576334411,CDG
ENSG00000258227.7,CLEC5A,27.8809774612012,CUG
ENSG00000105707.14,HPN,-27.8497490230844,CDG
ENSG00000141504.12,SAT2,-27.8405958643769,CDG
ENSG00000123473.16,STIL,27.7953918961803,CUG
ENSG00000178828.7,RNF186,-27.7800433995208,CDG
ENSG00000164120.14,HPGD,27.7616918403535,CUG
ENSG00000213626.13,LBH,27.757740634926,CUG
ENSG00000168078.10,PBK,27.6872378625446,CUG
ENSG00000198286.10,CARD11,27.6680477774806,CUG
ENSG00000211448.13,DIO2,27.6579900495994,CUG
ENSG00000006453.14,BAIAP2L1,27.6574298996448,CUG
ENSG00000172554.12,SNTG2,-27.6381142315976,CDG
ENSG00000111247.15,RAD51AP1,27.6181696860073,CUG
ENSG00000150782.12,IL18,27.6153006292845,CUG
ENSG00000169047.5,IRS1,27.5547898179262,CUG
ENSG00000077063.11,CTTNBP2,-27.5430421516149,CDG
ENSG00000135218.19,CD36,-27.5394833178677,CDG
ENSG00000057019.16,DCBLD2,27.4695908881586,CUG
ENSG00000011201.12,ANOS1,27.4289462436765,CUG
ENSG00000135423.13,GLS2,-27.4203487468333,CDG
ENSG00000077585.14,GPR137B,27.4070413897505,CUG
ENSG00000086717.18,PPEF1,27.4038079758643,CUG
ENSG00000181381.14,DDX60L,27.3996177685208,CUG
ENSG00000130303.13,BST2,27.3925998124624,CUG
ENSG00000083857.14,FAT1,27.3843932631307,CUG
ENSG00000156515.24,HK1,27.3684715167957,CUG
ENSG00000196141.14,SPATS2L,27.1929694776585,CUG
ENSG00000143079.15,CTTNBP2NL,27.1581587344126,CUG
ENSG00000185559.16,DLK1,-27.1484735645169,CDG
ENSG00000137807.16,KIF23,27.1228729227582,CUG
ENSG00000164611.13,PTTG1,27.1065039253184,CUG
ENSG00000144959.11,NCEH1,27.1050978191869,CUG
ENSG00000120057.5,SFRP5,-27.0838919984362,CDG
ENSG00000183742.13,MACC1,27.013735294059,CUG
ENSG00000169876.14,MUC17,26.924226551832,CUG
ENSG00000154080.14,CHST9,-26.8947431563812,CDG
ENSG00000185518.12,SV2B,-26.8345332438227,CDG
ENSG00000075391.17,RASAL2,26.7658429467107,CUG
ENSG00000165092.13,ALDH1A1,-26.7143251844191,CDG
ENSG00000147862.17,NFIB,-26.7072190104574,CDG
ENSG00000166394.15,CYB5R2,26.682485940961,CUG
ENSG00000130294.17,KIF1A,-26.5706021812276,CDG
ENSG00000176454.14,LPCAT4,26.5511049763198,CUG
ENSG00000128595.17,CALU,26.5155633961863,CUG
ENSG00000176894.10,PXMP2,-26.4538814944617,CDG
ENSG00000158158.12,CNNM4,26.4526904856576,CUG
ENSG00000129173.13,E2F8,26.4428404482021,CUG
ENSG00000253958.2,CLDN23,26.42110261707,CUG
ENSG00000092621.13,PHGDH,-26.4049814264782,CDG
ENSG00000125378.16,BMP4,26.3648595003426,CUG
ENSG00000170899.11,GSTA4,-26.3345035146578,CDG
ENSG00000178209.16,PLEC,26.2889751280579,CUG
ENSG00000116761.12,CTH,-26.2263294242578,CDG
ENSG00000174564.13,IL20RB,26.2217429658245,CUG
ENSG00000114166.8,KAT2B,-26.1059942423167,CDG
ENSG00000182621.18,PLCB1,-26.09429193373,CDG
ENSG00000173852.15,DPY19L1,25.9793558494818,CUG
ENSG00000159166.15,LAD1,25.9695011089068,CUG
ENSG00000112742.10,TTK,25.9332459150577,CUG
ENSG00000131788.16,PIAS3,25.9110160260557,CUG
ENSG00000261150.3,EPPK1,25.9081080210291,CUG
ENSG00000003096.14,KLHL13,-25.8886957571824,CDG
ENSG00000185630.19,PBX1,-25.8790160961742,CDG
ENSG00000176533.13,GNG7,-25.8277356063814,CDG
ENSG00000242173.10,ARHGDIG,-25.8051937891755,CDG
ENSG00000126010.6,GRPR,-25.7904178944682,CDG
ENSG00000198626.17,RYR2,-25.770157552712,CDG
ENSG00000112936.19,C7,-25.7366127372342,CDG
ENSG00000181031.16,RPH3AL,-25.6817340823457,CDG
ENSG00000196639.7,HRH1,25.6641579759869,CUG
ENSG00000084636.18,COL16A1,25.5726794313828,CUG
ENSG00000178568.15,ERBB4,-25.5579041022593,CDG
ENSG00000152217.20,SETBP1,-25.4919083984007,CDG
ENSG00000171848.16,RRM2,25.4590934038623,CUG
ENSG00000119711.13,ALDH6A1,-25.4530542709558,CDG
ENSG00000105825.14,TFPI2,-25.4193743734118,CDG
ENSG00000102699.6,PARP4,25.382790271809,CUG
ENSG00000127947.16,PTPN12,25.3726525889538,CUG
ENSG00000185420.19,SMYD3,25.3671027158355,CUG
ENSG00000181104.7,F2R,25.3013334812444,CUG
ENSG00000117226.12,GBP3,25.2931226362185,CUG
ENSG00000145386.11,CCNA2,25.1845374046161,CUG
ENSG00000169245.6,CXCL10,25.1749712695238,CUG
ENSG00000109805.10,NCAPG,25.1592298945055,CUG
ENSG00000172061.9,LRRC15,25.1462824364435,CUG
ENSG00000170425.3,ADORA2B,25.0574770533457,CUG
ENSG00000163577.8,EIF5A2,25.056480525923,CUG
ENSG00000054277.14,OPN3,25.00678488434,CUG
ENSG00000171714.12,ANO5,-24.9734810911978,CDG
ENSG00000006451.8,RALA,24.9655786095428,CUG
ENSG00000164344.16,KLKB1,-24.9381659667574,CDG
ENSG00000138821.13,SLC39A8,-24.9052933705487,CDG
ENSG00000170962.13,PDGFD,-24.8948345203959,CDG
ENSG00000196526.10,AFAP1,24.8901373215094,CUG
ENSG00000087116.16,ADAMTS2,24.8617160393317,CUG
ENSG00000140525.19,FANCI,24.8576372584711,CUG
ENSG00000070718.12,AP3M2,24.8101032232677,CUG
ENSG00000162645.13,GBP2,24.7579517666329,CUG
ENSG00000090889.12,KIF4A,24.7214541333794,CUG
ENSG00000172031.7,EPHX4,24.716902294005,CUG
ENSG00000165125.22,TRPV6,-24.6433670200477,CDG
ENSG00000125733.18,TRIP10,24.6343904553669,CUG
ENSG00000141682.12,PMAIP1,24.621187079486,CUG
ENSG00000051180.17,RAD51,24.5992031342361,CUG
ENSG00000141458.13,NPC1,24.5787468939347,CUG
ENSG00000122786.20,CALD1,24.5755681594904,CUG
ENSG00000149554.13,CHEK1,24.5144594333025,CUG
ENSG00000136732.16,GYPC,-24.4269558100231,CDG
ENSG00000133958.13,UNC79,-24.38798132824,CDG
ENSG00000133019.12,CHRM3,-24.353728171767,CDG
ENSG00000035499.13,DEPDC1B,24.2863109053801,CUG
ENSG00000100129.18,EIF3L,-24.2088324727264,CDG
ENSG00000135046.14,ANXA1,24.19916218293,CUG
ENSG00000135362.14,PRR5L,24.1810170097915,CUG
ENSG00000173210.20,ABLIM3,24.1544955520232,CUG
ENSG00000110148.10,CCKBR,-24.1060274865774,CDG
ENSG00000138448.12,ITGAV,24.0762811871473,CUG
ENSG00000145476.16,CYP4V2,-24.0575955802186,CDG
ENSG00000121552.4,CSTA,24.0181622004347,CUG
ENSG00000102024.18,PLS3,23.9537229599001,CUG
ENSG00000146477.6,SLC22A3,23.8923273498692,CUG
ENSG00000104147.9,OIP5,23.8687667796129,CUG
ENSG00000124429.18,POF1B,23.8633489220831,CUG
ENSG00000165476.14,REEP3,23.8380118088272,CUG
ENSG00000072110.15,ACTN1,23.7725358652826,CUG
ENSG00000105290.13,APLP1,-23.7621333653667,CDG
ENSG00000204610.13,TRIM15,23.7453915862699,CUG
ENSG00000162545.6,CAMK2N1,23.7419847006219,CUG
ENSG00000145284.12,SCD5,-23.691984143031,CDG
ENSG00000135773.13,CAPN9,23.6903087564633,CUG
ENSG00000196923.14,PDLIM7,23.6736372339844,CUG
ENSG00000167614.14,TTYH1,-23.6451697215958,CDG
ENSG00000112378.12,PERP,23.5931882354309,CUG
ENSG00000176532.4,PRR15,23.5366741374363,CUG
ENSG00000167553.16,TUBA1C,23.5096110352589,CUG
