rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,meta_cox_z,meta_cox_p,direction
4719,ENSG00000170779.11,91,50,1.4872175184988259,0.13695737063715843,1.4872175184988259,0.13695737063715768,higher_expr_higher_risk
4720,ENSG00000111785.21,91,50,-1.486977590384914,0.1370207297303339,-1.486977590384914,0.13702072973033363,higher_expr_lower_risk
4721,ENSG00000123416.15,91,50,1.4869549725697626,0.13702670370311276,1.4869549725697626,0.13702670370311162,higher_expr_higher_risk
4722,ENSG00000147140.17,91,50,1.486906851512426,0.13703941443595857,1.486906851512426,0.13703941443595902,higher_expr_higher_risk
4723,ENSG00000264522.6,91,50,-1.4866459017834592,0.1371083577363385,-1.4866459017834592,0.13710835773633853,higher_expr_lower_risk
4724,ENSG00000128739.23,91,50,-1.486619997765923,0.13711520307516653,-1.486619997765923,0.13711520307516675,higher_expr_lower_risk
4725,ENSG00000181555.21,91,50,-1.4864925168613796,0.13714889474026054,-1.4864925168613796,0.13714889474026104,higher_expr_lower_risk
4726,ENSG00000128000.17,91,50,-1.4864439983675142,0.13716171927033696,-1.4864439983675142,0.13716171927033657,higher_expr_lower_risk
4727,ENSG00000144455.14,91,50,1.4864252641372924,0.13716667139661043,1.4864252641372924,0.1371666713966102,higher_expr_higher_risk
4728,ENSG00000198610.11,91,50,-1.4863701569632777,0.1371812389906887,-1.4863701569632777,0.1371812389906888,higher_expr_lower_risk
4729,ENSG00000009694.13,91,50,-1.4863158508936216,0.13719559598002778,-1.4863158508936216,0.13719559598002767,higher_expr_lower_risk
4730,ENSG00000178802.18,91,50,1.486212830260016,0.13722283490722761,1.486212830260016,0.13722283490722884,higher_expr_higher_risk
4731,ENSG00000110060.9,91,50,1.486082978096136,0.13725717410363594,1.486082978096136,0.13725717410363483,higher_expr_higher_risk
4732,ENSG00000171872.5,91,50,1.4860731281728783,0.13725977917044377,1.4860731281728783,0.13725977917044402,higher_expr_higher_risk
