gene_symbol,category,gene_id,available,cox_rank,meta_cox_z
CTRB1,hypoxia_metabolism_acinar_program,ENSG00000168925.12,True,18262,0.0906540113498072
CSF1,immune_inflammation_tgf_beta,ENSG00000184371.14,True,18291,0.08811953886491203
BGN,stroma_ecm_invasion,ENSG00000182492.16,True,18299,0.08763660214301511
CXCL8,immune_inflammation_tgf_beta,ENSG00000169429.11,True,18444,-0.0752099040189588
CDKN2B,core_driver_tumor_suppressor,ENSG00000147883.12,True,18616,0.059071721497285755
TGFBR2,core_driver_tumor_suppressor,ENSG00000163513.19,True,18634,-0.05730893410862706
THBS1,stroma_ecm_invasion,ENSG00000137801.11,True,18649,0.05549381992438939
CLPS,hypoxia_metabolism_acinar_program,ENSG00000137392.10,True,18650,0.05547951101945789
GNAS,core_driver_tumor_suppressor,ENSG00000087460.27,True,18666,-0.05419840705794223
TGFB2,immune_inflammation_tgf_beta,ENSG00000092969.12,True,18671,0.05347165748494047
HNF1A,classical_pancreatic_progenitor,ENSG00000135100.18,True,18678,-0.052810109133988474
CEACAM5,classical_pancreatic_progenitor,ENSG00000105388.16,True,18681,0.05265017713808235
TP53,core_driver_tumor_suppressor,ENSG00000141510.18,True,18774,-0.044051863712959806
MSH6,dna_damage_repair_therapy,ENSG00000116062.17,True,18950,0.029297174294831772
SNAI1,basal_squamous_mesenchymal,ENSG00000124216.4,True,18980,0.026485404331558427
MNX1,classical_pancreatic_progenitor,ENSG00000130675.15,True,19050,0.020276881167004504
PRSS1,hypoxia_metabolism_acinar_program,ENSG00000204983.14,True,19190,-0.006526019839604434
COL1A1,stroma_ecm_invasion,ENSG00000108821.14,True,19211,0.004713709654806401
