rank,gene_id,is_literature_curated
429,ENSG00000128713.14,False
430,ENSG00000165028.12,False
431,ENSG00000110660.15,False
432,ENSG00000122643.22,False
433,ENSG00000040275.17,False
434,ENSG00000145386.11,False
435,ENSG00000131149.19,False
436,ENSG00000186562.7,False
437,ENSG00000134882.16,False
438,ENSG00000125629.15,False
439,ENSG00000117399.14,False
440,ENSG00000104375.17,False
441,ENSG00000120088.15,False
442,ENSG00000077044.11,False
443,ENSG00000162645.13,False
444,ENSG00000128463.13,False
445,ENSG00000011275.19,False
446,ENSG00000278828.1,False
447,ENSG00000126883.17,False
448,ENSG00000101298.15,False
449,ENSG00000127952.17,False
450,ENSG00000121671.12,False
451,ENSG00000176095.12,False
452,ENSG00000143126.8,False
453,ENSG00000182117.6,False
454,ENSG00000161800.13,False
455,ENSG00000185966.4,False
456,ENSG00000146674.15,False
457,ENSG00000053438.11,False
458,ENSG00000154957.14,False
459,ENSG00000134769.21,False
460,ENSG00000124160.12,False
461,ENSG00000169288.18,False
462,ENSG00000133328.4,False
463,ENSG00000146005.4,False
464,ENSG00000134830.6,False
465,ENSG00000111181.12,False
466,ENSG00000100567.13,False
467,ENSG00000134326.11,False
468,ENSG00000175143.5,False
469,ENSG00000261949.6,False
470,ENSG00000154839.10,False
471,ENSG00000165527.7,False
472,ENSG00000144118.14,False
473,ENSG00000156970.13,False
474,ENSG00000145832.14,False
475,ENSG00000176555.1,False
476,ENSG00000221888.4,False
477,ENSG00000283594.1,False
478,ENSG00000189056.14,False
479,ENSG00000153933.10,False
480,ENSG00000196337.12,False
481,ENSG00000163157.15,False
482,ENSG00000185278.15,False
483,ENSG00000135480.16,False
484,ENSG00000140992.19,False
485,ENSG00000169507.9,False
486,ENSG00000137965.11,False
487,ENSG00000116991.11,False
488,ENSG00000138180.16,False
489,ENSG00000137845.15,False
490,ENSG00000172046.19,False
491,ENSG00000107282.8,False
492,ENSG00000110514.19,False
493,ENSG00000166359.11,False
494,ENSG00000138764.15,False
495,ENSG00000180708.6,False
496,ENSG00000241878.11,False
497,ENSG00000103150.7,False
498,ENSG00000188158.16,False
499,ENSG00000168078.10,False
500,ENSG00000196407.12,False
501,ENSG00000180198.16,False
502,ENSG00000185480.12,False
503,ENSG00000103111.15,False
504,ENSG00000188542.10,False
