rank,gene_id
452,ENSG00000081041.9
453,ENSG00000100985.7
454,ENSG00000130720.13
455,ENSG00000114113.6
456,ENSG00000112761.21
457,ENSG00000198734.12
458,ENSG00000164120.14
459,ENSG00000179344.16
460,ENSG00000188833.10
461,ENSG00000123358.20
462,ENSG00000185499.16
463,ENSG00000166670.10
464,ENSG00000135744.8
465,ENSG00000105290.13
466,ENSG00000124466.9
467,ENSG00000170477.13
468,ENSG00000188959.9
469,ENSG00000185745.10
470,ENSG00000205364.4
471,ENSG00000164694.17
472,ENSG00000170608.3
473,ENSG00000136883.14
474,ENSG00000148926.10
475,ENSG00000104921.15
476,ENSG00000198732.11
477,ENSG00000165125.22
478,ENSG00000129521.15
479,ENSG00000101441.4
480,ENSG00000169248.13
481,ENSG00000120708.17
482,ENSG00000106258.15
483,ENSG00000167286.10
484,ENSG00000166959.8
485,ENSG00000069011.16
486,ENSG00000104368.19
487,ENSG00000104140.7
488,ENSG00000007312.13
489,ENSG00000132911.5
490,ENSG00000165272.16
491,ENSG00000128591.16
492,ENSG00000108691.9
493,ENSG00000177575.13
494,ENSG00000142677.4
495,ENSG00000155066.16
496,ENSG00000105141.6
497,ENSG00000198910.14
498,ENSG00000169442.9
499,ENSG00000180447.7
500,ENSG00000019505.8
501,ENSG00000166415.15
502,ENSG00000114378.17
503,ENSG00000206075.14
504,ENSG00000113722.17
505,ENSG00000163751.4
506,ENSG00000122861.16
507,ENSG00000108602.18
508,ENSG00000099617.4
509,ENSG00000081237.20
510,ENSG00000198692.10
511,ENSG00000087495.17
512,ENSG00000170498.9
513,ENSG00000189325.7
514,ENSG00000106236.4
515,ENSG00000110245.12
516,ENSG00000137959.16
517,ENSG00000203747.12
518,ENSG00000181649.8
519,ENSG00000198851.10
520,ENSG00000136059.14
521,ENSG00000088992.18
522,ENSG00000187955.12
523,ENSG00000205358.4
524,ENSG00000167588.13
525,ENSG00000197249.14
526,ENSG00000187094.12
527,ENSG00000134398.15
528,ENSG00000242515.5
529,ENSG00000178882.15
530,ENSG00000041982.16
531,ENSG00000180061.10
532,ENSG00000183036.11
533,ENSG00000012124.17
534,ENSG00000159958.7
535,ENSG00000108352.13
536,ENSG00000004799.8
537,ENSG00000189058.9
538,ENSG00000134258.17
539,ENSG00000149968.12
540,ENSG00000189334.9
541,ENSG00000125820.6
542,ENSG00000143196.5
543,ENSG00000145423.5
544,ENSG00000105509.11
545,ENSG00000115221.12
546,ENSG00000271447.6
547,ENSG00000114455.13
548,ENSG00000175592.9
549,ENSG00000135447.17
550,ENSG00000068078.20
551,ENSG00000019186.10
552,ENSG00000011347.10
553,ENSG00000110375.3
554,ENSG00000204531.20
555,ENSG00000187837.4
556,ENSG00000173369.17
557,ENSG00000169508.7
558,ENSG00000004776.13
559,ENSG00000137801.11
560,ENSG00000111319.13
561,ENSG00000185905.4
562,ENSG00000013588.9
563,ENSG00000138100.14
564,ENSG00000176919.13
565,ENSG00000178821.13
566,ENSG00000074410.14
567,ENSG00000078596.11
568,ENSG00000021826.17
569,ENSG00000204936.10
570,ENSG00000175538.11
571,ENSG00000172403.11
572,ENSG00000197614.11
573,ENSG00000058085.15
574,ENSG00000007216.15
575,ENSG00000196735.13
576,ENSG00000108821.14
577,ENSG00000147804.10
578,ENSG00000124491.16
579,ENSG00000143546.10
580,ENSG00000158373.8
581,ENSG00000168903.9
582,ENSG00000104435.14
583,ENSG00000197253.13
584,ENSG00000151715.8
585,ENSG00000106483.12
586,ENSG00000142871.18
587,ENSG00000204632.11
588,ENSG00000147041.12
589,ENSG00000167741.11
590,ENSG00000125730.17
591,ENSG00000144852.19
592,ENSG00000116661.11
593,ENSG00000143167.12
594,ENSG00000103888.17
595,ENSG00000205076.4
596,ENSG00000184530.9
597,ENSG00000213030.5
598,ENSG00000257743.8
599,ENSG00000112303.14
600,ENSG00000116824.5
601,ENSG00000170231.16
602,ENSG00000136167.15
603,ENSG00000107954.10
604,ENSG00000176678.6
605,ENSG00000187867.10
606,ENSG00000155659.15
607,ENSG00000131037.15
608,ENSG00000136698.10
609,ENSG00000132185.18
610,ENSG00000108242.13
611,ENSG00000137809.17
612,ENSG00000231389.7
613,ENSG00000073067.14
614,ENSG00000271503.6
615,ENSG00000167996.16
616,ENSG00000165457.14
617,ENSG00000135114.12
618,ENSG00000163283.7
619,ENSG00000168542.16
620,ENSG00000205795.4
621,ENSG00000170786.12
622,ENSG00000240583.13
623,ENSG00000167779.9
624,ENSG00000143369.15
625,ENSG00000090402.8
626,ENSG00000118849.10
627,ENSG00000109472.14
628,ENSG00000166482.12
629,ENSG00000136244.12
630,ENSG00000129455.15
631,ENSG00000110848.8
632,ENSG00000124205.18
633,ENSG00000007062.12
634,ENSG00000062038.14
635,ENSG00000114115.10
636,ENSG00000164326.5
637,ENSG00000197629.6
638,ENSG00000278828.1
639,ENSG00000138109.11
640,ENSG00000112818.10
641,ENSG00000104371.5
642,ENSG00000188747.8
643,ENSG00000205502.4
644,ENSG00000132031.13
645,ENSG00000167754.13
646,ENSG00000175793.12
647,ENSG00000141433.13
648,ENSG00000137033.11
649,ENSG00000232629.9
650,ENSG00000166396.13
651,ENSG00000137573.14
652,ENSG00000053747.17
653,ENSG00000057019.16
654,ENSG00000196542.8
655,ENSG00000124882.4
656,ENSG00000160471.13
657,ENSG00000129988.6
658,ENSG00000197520.10
659,ENSG00000104783.14
660,ENSG00000170689.10
661,ENSG00000130821.17
662,ENSG00000165168.8
663,ENSG00000237988.5
664,ENSG00000204385.13
665,ENSG00000132639.13
666,ENSG00000198829.6
667,ENSG00000147206.17
668,ENSG00000136750.13
669,ENSG00000228278.5
670,ENSG00000103355.13
671,ENSG00000117226.12
672,ENSG00000101470.10
673,ENSG00000164692.18
674,ENSG00000143248.13
675,ENSG00000105974.13
676,ENSG00000122585.8
677,ENSG00000126266.3
678,ENSG00000167434.10
679,ENSG00000131668.14
680,ENSG00000104894.12
681,ENSG00000253368.4
682,ENSG00000143119.14
683,ENSG00000167157.11
684,ENSG00000110777.12
685,ENSG00000154646.9
686,ENSG00000117472.10
687,ENSG00000096060.15
688,ENSG00000138356.14
689,ENSG00000124602.10
690,ENSG00000116833.14
691,ENSG00000171236.10
692,ENSG00000264230.9
693,ENSG00000181143.15
694,ENSG00000123843.13
695,ENSG00000151632.17
696,ENSG00000136689.19
697,ENSG00000211445.12
698,ENSG00000249992.2
699,ENSG00000091986.16
700,ENSG00000138061.12
701,ENSG00000163431.13
702,ENSG00000168079.17
703,ENSG00000106688.12
704,ENSG00000185567.7
705,ENSG00000075073.15
706,ENSG00000115461.5
707,ENSG00000144045.14
708,ENSG00000156966.7
709,ENSG00000115457.10
710,ENSG00000065534.19
711,ENSG00000159189.12
712,ENSG00000145384.4
713,ENSG00000077274.9
714,ENSG00000144810.16
715,ENSG00000171303.7
716,ENSG00000163359.16
717,ENSG00000204128.6
718,ENSG00000173404.5
719,ENSG00000179144.5
720,ENSG00000164822.5
721,ENSG00000150594.7
722,ENSG00000134339.9
723,ENSG00000168267.7
724,ENSG00000204287.14
725,ENSG00000158089.15
726,ENSG00000125657.5
727,ENSG00000175602.4
728,ENSG00000087085.16
729,ENSG00000138623.10
730,ENSG00000091138.13
731,ENSG00000167476.10
732,ENSG00000153446.16
733,ENSG00000087245.13
734,ENSG00000137825.11
735,ENSG00000079385.23
736,ENSG00000206073.11
737,ENSG00000134013.16
738,ENSG00000185885.16
739,ENSG00000196126.11
740,ENSG00000121966.7
741,ENSG00000198523.6
742,ENSG00000188993.3
743,ENSG00000095970.17
744,ENSG00000204839.9
745,ENSG00000101447.15
746,ENSG00000111341.10
747,ENSG00000241794.2
748,ENSG00000103485.19
749,ENSG00000196878.15
750,ENSG00000187474.5
751,ENSG00000106819.13
752,ENSG00000198467.16
753,ENSG00000163817.16
754,ENSG00000173156.7
755,ENSG00000122862.5
756,ENSG00000106123.12
757,ENSG00000136542.9
758,ENSG00000248771.5
759,ENSG00000175262.14
760,ENSG00000171345.13
761,ENSG00000113924.12
762,ENSG00000135094.11
763,ENSG00000197632.9
764,ENSG00000233493.4
765,ENSG00000118322.14
766,ENSG00000198835.4
767,ENSG00000204389.10
768,ENSG00000138131.4
769,ENSG00000164932.13
770,ENSG00000160867.15
771,ENSG00000167964.13
772,ENSG00000134443.10
773,ENSG00000127528.6
774,ENSG00000146038.12
775,ENSG00000173641.18
776,ENSG00000171243.8
777,ENSG00000118004.18
778,ENSG00000127083.7
779,ENSG00000009950.16
780,ENSG00000204262.14
781,ENSG00000090104.12
782,ENSG00000262655.4
783,ENSG00000242265.6
784,ENSG00000088882.8
785,ENSG00000122641.11
786,ENSG00000099769.6
787,ENSG00000170345.10
788,ENSG00000164220.7
789,ENSG00000102879.16
790,ENSG00000163734.4
791,ENSG00000146674.15
792,ENSG00000169604.20
793,ENSG00000134028.14
794,ENSG00000165238.16
795,ENSG00000133134.12
796,ENSG00000168350.8
797,ENSG00000269404.7
798,ENSG00000105131.8
799,ENSG00000012171.20
800,ENSG00000136574.18
801,ENSG00000188290.11
802,ENSG00000119508.18
803,ENSG00000153563.16
804,ENSG00000177685.17
805,ENSG00000101187.16
806,ENSG00000005884.18
807,ENSG00000070404.10
808,ENSG00000105523.3
809,ENSG00000076864.19
810,ENSG00000086696.11
811,ENSG00000036828.17
812,ENSG00000198959.12
813,ENSG00000228253.1
814,ENSG00000125869.10
815,ENSG00000125285.6
816,ENSG00000103089.9
817,ENSG00000135318.12
818,ENSG00000122122.10
819,ENSG00000130005.13
820,ENSG00000136573.14
821,ENSG00000133878.9
822,ENSG00000141485.17
823,ENSG00000162692.12
824,ENSG00000178776.5
825,ENSG00000142156.15
826,ENSG00000171346.16
827,ENSG00000003989.18
828,ENSG00000125148.7
829,ENSG00000131142.13
830,ENSG00000163485.17
831,ENSG00000077942.19
832,ENSG00000173372.17
833,ENSG00000133321.11
834,ENSG00000187479.8
835,ENSG00000165474.8
836,ENSG00000022267.19
837,ENSG00000169562.13
838,ENSG00000082196.21
839,ENSG00000157601.14
840,ENSG00000175164.15
841,ENSG00000139874.6
842,ENSG00000118523.6
843,ENSG00000179862.7
844,ENSG00000142627.13
845,ENSG00000124237.6
846,ENSG00000156298.13
847,ENSG00000145649.8
848,ENSG00000109084.14
849,ENSG00000277639.2
850,ENSG00000216921.9
851,ENSG00000130635.16
852,ENSG00000155093.19
853,ENSG00000197903.8
854,ENSG00000172478.18
855,ENSG00000038427.16
856,ENSG00000131094.4
857,ENSG00000100557.10
858,ENSG00000119917.14
859,ENSG00000204252.14
860,ENSG00000213937.4
861,ENSG00000137078.9
862,ENSG00000162772.17
863,ENSG00000102048.16
864,ENSG00000177508.12
865,ENSG00000184678.10
866,ENSG00000019549.13
867,ENSG00000148848.14
868,ENSG00000149591.17
869,ENSG00000183019.7
870,ENSG00000120306.11
871,ENSG00000169509.6
