rank,gene_id,train_variance
302,ENSG00000196154.12,1.7809242690377496
303,ENSG00000133328.4,1.7792408065765097
304,ENSG00000070526.15,1.7763765729607988
305,ENSG00000100721.11,1.7712881000137826
306,ENSG00000164816.8,1.771286961347394
307,ENSG00000113296.14,1.765475045971293
308,ENSG00000136155.17,1.7582099044047408
309,ENSG00000157765.13,1.75646734043608
310,ENSG00000198502.6,1.7525418063967853
311,ENSG00000179674.4,1.740547950880821
312,ENSG00000187258.14,1.7396893791165224
313,ENSG00000130203.10,1.7392734964158876
314,ENSG00000102243.13,1.736593473453358
315,ENSG00000204866.8,1.7351624262708663
316,ENSG00000124713.6,1.7251135372499784
317,ENSG00000126353.3,1.7219480337625948
318,ENSG00000126709.15,1.7214115941247623
319,ENSG00000104537.17,1.7203425608231762
320,ENSG00000146469.13,1.7202766948476427
321,ENSG00000157551.19,1.7171583733816829
322,ENSG00000123689.6,1.7159164669327716
323,ENSG00000227507.3,1.7151798947001695
324,ENSG00000162482.5,1.711737986910119
325,ENSG00000135480.16,1.711513662159704
326,ENSG00000188175.10,1.7114845754083596
327,ENSG00000134184.13,1.7098138862133205
328,ENSG00000129654.8,1.7095012147820474
329,ENSG00000182253.15,1.7092594294736505
330,ENSG00000091583.11,1.7079604536967912
331,ENSG00000145287.11,1.706799146179468
332,ENSG00000162992.4,1.7060751467965483
333,ENSG00000101188.5,1.7019485555834246
334,ENSG00000122133.17,1.7012292791995522
335,ENSG00000154764.6,1.6998459537170498
336,ENSG00000205362.11,1.6980372283723744
337,ENSG00000118017.4,1.695880995265611
338,ENSG00000124664.11,1.6943886555933938
339,ENSG00000131203.13,1.6939237900480764
340,ENSG00000170476.16,1.6930553238721004
341,ENSG00000104332.12,1.6887986982517458
342,ENSG00000104827.12,1.6851974579457467
343,ENSG00000172061.9,1.6828235250131176
344,ENSG00000243449.6,1.682458059327756
345,ENSG00000123500.10,1.6795077656802937
346,ENSG00000166923.12,1.677642713807198
347,ENSG00000102802.10,1.6771093233794174
348,ENSG00000064300.9,1.67661446902316
349,ENSG00000106809.11,1.6739354223422285
350,ENSG00000110244.7,1.6689189411504008
351,ENSG00000186007.10,1.66233390924493
352,ENSG00000163220.11,1.6612311332807057
353,ENSG00000204616.11,1.6596406617317534
354,ENSG00000142102.16,1.6583884373312399
355,ENSG00000140297.13,1.6472697538770307
356,ENSG00000101210.13,1.6449121038957553
357,ENSG00000197766.8,1.6430546157021828
358,ENSG00000185559.16,1.642069853282937
359,ENSG00000188404.10,1.6398383875442573
360,ENSG00000012817.16,1.63930196117848
361,ENSG00000106541.12,1.6380407321168373
362,ENSG00000127324.9,1.624549127410526
363,ENSG00000130208.9,1.6212889230408285
364,ENSG00000114270.17,1.615789768595484
365,ENSG00000075461.6,1.6132215493489057
366,ENSG00000167757.14,1.6130801434762556
367,ENSG00000166819.12,1.612373758204375
368,ENSG00000163121.10,1.611882904273312
369,ENSG00000164308.17,1.6056356913414087
370,ENSG00000101197.13,1.604817946459827
371,ENSG00000172927.8,1.602294550459924
372,ENSG00000149735.7,1.6011199210691622
373,ENSG00000183128.7,1.600169708505314
374,ENSG00000124107.5,1.5995057307839171
375,ENSG00000169429.11,1.5992351792571564
376,ENSG00000120885.22,1.5959154558747666
377,ENSG00000114771.14,1.5953049075014647
378,ENSG00000113303.12,1.593897353911789
379,ENSG00000115414.21,1.5937305372583532
380,ENSG00000137673.9,1.591644430548788
381,ENSG00000015413.9,1.5873264797633708
382,ENSG00000128564.7,1.5868035711378967
383,ENSG00000196616.14,1.5775583393446648
384,ENSG00000184502.4,1.5685039162051755
385,ENSG00000187288.12,1.5675910985907704
386,ENSG00000166866.13,1.565014350762654
387,ENSG00000163661.4,1.5621562392793042
388,ENSG00000002726.21,1.5591167583224317
389,ENSG00000124212.6,1.5567553569858466
390,ENSG00000145113.22,1.5551345425393346
391,ENSG00000173110.8,1.5546256763112198
392,ENSG00000100170.10,1.5541270160397975
393,ENSG00000169994.18,1.551840524207085
394,ENSG00000140835.10,1.5517571301066677
395,ENSG00000069764.10,1.551670515075981
396,ENSG00000086619.14,1.551517156290343
397,ENSG00000198842.10,1.5508756781649933
398,ENSG00000117394.24,1.5423983772262129
399,ENSG00000146678.10,1.5374794273544294
400,ENSG00000162078.11,1.5368043726673006
401,ENSG00000175426.11,1.5366175320773967
402,ENSG00000181092.10,1.5360846389297935
403,ENSG00000265190.7,1.529812096776531
404,ENSG00000177494.6,1.5292833185480552
405,ENSG00000148344.11,1.5290129635776748
406,ENSG00000133110.15,1.5218408418974803
407,ENSG00000162894.12,1.5170879583502395
408,ENSG00000145920.15,1.5168058613514366
409,ENSG00000109205.16,1.511778927456785
410,ENSG00000064787.13,1.5111303329914116
411,ENSG00000159248.5,1.5074559382964623
412,ENSG00000127831.11,1.505231744718623
413,ENSG00000166592.12,1.4951702815423302
414,ENSG00000166126.11,1.493187774038065
415,ENSG00000177455.15,1.4926420720906952
416,ENSG00000183844.17,1.4915204942855969
417,ENSG00000173391.9,1.491299722894009
418,ENSG00000196436.8,1.4909743126247859
419,ENSG00000204019.5,1.4900017806836119
420,ENSG00000148677.7,1.4875191957153726
421,ENSG00000177459.11,1.4873931308422688
422,ENSG00000105664.11,1.483382371763004
423,ENSG00000205922.5,1.4816108464408857
424,ENSG00000188338.15,1.4810729686663175
425,ENSG00000133063.16,1.4749165383507208
426,ENSG00000180818.5,1.4669465330767426
427,ENSG00000163975.12,1.4665086578785818
428,ENSG00000054938.16,1.4553770197863118
429,ENSG00000169605.7,1.455231234227957
430,ENSG00000081277.13,1.454515647158861
431,ENSG00000189292.16,1.4542726048069379
432,ENSG00000128298.17,1.4519326832312411
433,ENSG00000107742.13,1.4516859429609832
434,ENSG00000131910.5,1.4516404015574569
435,ENSG00000120738.8,1.4507048453107854
436,ENSG00000163739.5,1.4490740148429386
437,ENSG00000262406.3,1.4458262978597975
438,ENSG00000106366.9,1.4452987970400164
439,ENSG00000133048.13,1.4440350535166633
440,ENSG00000168685.15,1.442059263312684
441,ENSG00000176387.7,1.4419307518355102
442,ENSG00000109321.11,1.438819498619735
443,ENSG00000260314.3,1.438757523981497
444,ENSG00000135925.9,1.4380743057166352
445,ENSG00000165949.12,1.438028654083022
446,ENSG00000198758.11,1.4342002491359773
447,ENSG00000107562.16,1.432734316856499
448,ENSG00000015520.15,1.429182914911926
449,ENSG00000205426.10,1.428158542419885
450,ENSG00000111799.21,1.4266672162956244
451,ENSG00000181374.8,1.4266321502943555
452,ENSG00000081041.9,1.4207032354720317
453,ENSG00000100985.7,1.4161389160539573
454,ENSG00000130720.13,1.416113935740537
455,ENSG00000114113.6,1.4158462189769492
456,ENSG00000112761.21,1.415242793379472
457,ENSG00000198734.12,1.4124008108477792
458,ENSG00000164120.14,1.4091823889958566
459,ENSG00000179344.16,1.4082835649818182
460,ENSG00000188833.10,1.4048455556210606
461,ENSG00000123358.20,1.4025463347738643
462,ENSG00000185499.16,1.401887730642082
463,ENSG00000166670.10,1.3995305647536926
464,ENSG00000135744.8,1.3967655886284636
