rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,cptac_train_n,cptac_train_events,cptac_cox_z,cptac_cox_p,meta_cox_z,meta_cox_p,direction
9668,ENSG00000164430.16,91,50,0.8502892794845517,0.39516427536998844,87,70,0.43463051142953224,0.6638306444226292,0.9085754974361495,0.36357424524460413,higher_expr_higher_risk
9669,ENSG00000125304.10,91,50,1.8618645687626931,0.06262218237305181,87,70,-0.5771731346365914,0.5638225035060314,0.9084140248028373,0.36365951867798885,higher_expr_higher_risk
9670,ENSG00000074201.9,91,50,0.9447959814966416,0.34476304384373646,87,70,0.33983451342641896,0.7339811551229193,0.9083709342791267,0.3636822768275638,higher_expr_higher_risk
9671,ENSG00000183765.23,91,50,0.42945989440793614,0.6675885742974433,87,70,0.8550021317614009,0.3925499675964055,0.9082518088809509,0.3637451972365241,higher_expr_higher_risk
9672,ENSG00000177692.12,91,50,-1.2199420595536303,0.22248684010234768,87,70,-0.06446173493531401,0.9486025748126607,-0.9082106328648653,0.36376694742939364,higher_expr_lower_risk
9673,ENSG00000128602.11,91,50,-1.1648131348187678,0.2440946409435215,87,70,-0.11950358906736143,0.9048763967500175,-0.9081490646511727,0.36379947080415864,higher_expr_lower_risk
9674,ENSG00000157326.19,91,50,-0.2644314853902608,0.7914474528464303,87,70,-1.0196471838609698,0.30789581881347317,-0.9079807346045429,0.3638884003406758,higher_expr_lower_risk
9675,ENSG00000162337.12,91,50,0.3823464524160725,0.7022044032193998,87,70,-1.6664014993971998,0.09563347236693723,-0.907964031137166,0.36389722560053817,higher_expr_lower_risk
9676,ENSG00000156471.13,91,50,1.0894223747533858,0.2759676689742605,87,70,0.19450056708272617,0.845783951738647,0.907870618693296,0.36394658243674394,higher_expr_higher_risk
9677,ENSG00000154582.17,91,50,0.4534829592048906,0.6502010113140941,87,70,0.8302378922536022,0.4064042952804118,0.9077277192168689,0.3640220951026588,higher_expr_higher_risk
9678,ENSG00000197915.7,91,50,-0.9581509383985637,0.3379866526323758,87,70,-0.3255556166445328,0.7447605969654202,-0.9077176101245954,0.3640274374421999,higher_expr_lower_risk
9679,ENSG00000235718.9,91,50,0.8045409442372609,0.42108463282057207,87,70,0.4790453963226809,0.6319063337843398,0.9076326056483599,0.36407236159225365,higher_expr_higher_risk
9680,ENSG00000100380.14,91,50,0.5502397239703254,0.5821549606922278,87,70,0.7333328273120667,0.46335545782414345,0.9076228551566969,0.3640775148666078,higher_expr_higher_risk
9681,ENSG00000164951.16,91,50,0.8453036425488903,0.3979413278385411,87,70,0.4382289364632575,0.6612203343456371,0.9075945904933478,0.364092453403311,higher_expr_higher_risk
9682,ENSG00000105186.16,91,50,1.361010217113104,0.1735104606713806,87,70,-0.07764907535913657,0.9381072037038821,0.9074733660455404,0.3641565277101525,higher_expr_higher_risk
9683,ENSG00000204220.12,91,50,0.1023508993275958,0.9184781555785788,87,70,1.1809587455325952,0.23761911232925967,0.907436952242741,0.3641757759402777,higher_expr_higher_risk
9684,ENSG00000196415.10,91,50,-0.5156696130834011,0.6060851812425517,87,70,-0.7674022401053268,0.44284239707252215,-0.9072688081393396,0.36426466467292684,higher_expr_lower_risk
9685,ENSG00000170801.10,91,50,-0.3608603305076167,0.7182038598637113,87,70,1.6438542550858226,0.1002063112031754,0.9072137042903912,0.36429379806081086,higher_expr_higher_risk
9686,ENSG00000275052.5,91,50,0.9522880549576332,0.340950914093723,87,70,0.33069240358315827,0.7408768408432941,0.9072041823640199,0.3642988324479175,higher_expr_higher_risk
9687,ENSG00000108179.14,91,50,-0.6673485280412844,0.5045495356152861,87,70,-0.6153670850138584,0.5383123234651899,-0.9070169083251509,0.36439785591556517,higher_expr_lower_risk
9688,ENSG00000175279.22,91,50,0.9411352164171526,0.34663557053143257,87,70,0.3413699579473082,0.7328250883295495,0.9068681056999456,0.36447654913986605,higher_expr_higher_risk
