gene_id,gene_symbol,source
ENSG00000103876.13,FAH,gyorffy_survival
ENSG00000174132.9,FAM174A,gyorffy_survival
ENSG00000185442.13,FAM174B,gyorffy_survival
ENSG00000187741.15,FANCA,gyorffy_survival
ENSG00000183161.6,FANCF,gyorffy_survival
ENSG00000140525.19,FANCI,gyorffy_survival
ENSG00000078098.14,FAP,literature_pan_cancer
ENSG00000149806.11,FAU,gyorffy_survival
ENSG00000105202.9,FBL,gyorffy_survival
ENSG00000165140.11,FBP1,gyorffy_survival
ENSG00000153558.16,FBXL2,gyorffy_survival
ENSG00000118496.5,FBXO30,gyorffy_survival
ENSG00000112029.10,FBXO5,gyorffy_survival
ENSG00000160867.15,FGFR4,literature_pam50
ENSG00000115641.19,FHL2,gyorffy_survival
ENSG00000135723.14,FHOD1,gyorffy_survival
ENSG00000214253.9,FIS1,gyorffy_survival
ENSG00000106080.11,FKBP14,gyorffy_survival
ENSG00000151702.17,FLI1,gyorffy_survival
ENSG00000136068.15,FLNB,gyorffy_survival
ENSG00000131781.13,FMO5,gyorffy_survival
ENSG00000115414.21,FN1,literature_pan_cancer
ENSG00000217128.12,FNIP1,gyorffy_survival
ENSG00000052795.13,FNIP2,gyorffy_survival
ENSG00000129514.8,FOXA1,gyorffy_survival
ENSG00000054598.9,FOXC1,literature_pam50
ENSG00000049768.16,FOXP3,literature_pan_cancer
ENSG00000204681.11,GABBR1,gyorffy_survival
ENSG00000102287.19,GABRE,gyorffy_survival
ENSG00000141012.13,GALNS,gyorffy_survival
ENSG00000109586.12,GALNT7,gyorffy_survival
ENSG00000111640.15,GAPDH,literature_oncotype_dx
ENSG00000159131.17,GART,gyorffy_survival
ENSG00000107485.18,GATA3,gyorffy_survival
ENSG00000117228.10,GBP1,gyorffy_survival
ENSG00000154451.14,GBP5,gyorffy_survival
ENSG00000131979.20,GCH1,gyorffy_survival
ENSG00000101003.10,GINS1,gyorffy_survival
ENSG00000147536.12,GINS4,gyorffy_survival
ENSG00000106571.15,GLI3,gyorffy_survival
ENSG00000167699.13,GLOD4,gyorffy_survival
ENSG00000148672.9,GLUD1,gyorffy_survival
ENSG00000112312.10,GMNN,gyorffy_survival
ENSG00000100938.18,GMPR2,gyorffy_survival
ENSG00000163655.16,GMPS,gyorffy_survival
ENSG00000156052.11,GNAQ,gyorffy_survival
ENSG00000087460.27,GNAS,core_driver_pan_cancer
ENSG00000172380.6,GNG12,gyorffy_survival
ENSG00000111670.16,GNPTAB,gyorffy_survival
ENSG00000135052.16,GOLM1,gyorffy_survival
ENSG00000143457.11,GOLPH3L,gyorffy_survival
ENSG00000152642.11,GPD1L,gyorffy_survival
ENSG00000173890.17,GPR160,literature_pam50
ENSG00000174946.7,GPR171,gyorffy_survival
ENSG00000121957.15,GPSM2,gyorffy_survival
ENSG00000141738.14,GRB7,literature_pam50
ENSG00000196208.14,GREB1,gyorffy_survival
ENSG00000073605.18,GSDMB,gyorffy_survival
ENSG00000134184.13,GSTM1,literature_oncotype_dx
