case_id,n_patches,prop_0,disp_0,intravar_0,centdist_0,prop_1,disp_1,intravar_1,centdist_1,prop_2,disp_2,intravar_2,centdist_2,prop_3,disp_3,intravar_3,centdist_3,prop_4,disp_4,intravar_4,centdist_4,prop_5,disp_5,intravar_5,centdist_5,prop_6,disp_6,intravar_6,centdist_6,prop_7,disp_7,intravar_7,centdist_7,prop_8,disp_8,intravar_8,centdist_8,prop_9,disp_9,intravar_9,centdist_9
TCGA-IB-7649,9145,0.0,0.0,0.0,0.0,0.01366867140513942,22845.19838548968,0.14340664888697133,16.129666716030226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06156369600874795,11465.875006404858,0.07136280053745163,14.485509870259687,0.6419901585565883,23773.530437311445,0.1244694346973813,14.207796617972557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2826681246582832,16174.849000354763,0.08255387639689193,13.16117028718745,0.00010934937124111536,0.0,5.551115123125783e-17,12.307448543309293
TCGA-IB-7651,9300,0.0,0.0,0.0,0.0,0.022365591397849462,18848.285372908736,0.0989316385510663,13.776176989866117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19268817204301075,11964.703349920697,0.08885238388988799,16.773573695571862,0.5720430107526882,24229.118397762595,0.10337344960855303,13.43430243999982,0.20838709677419354,11975.113497582035,0.08712174354572803,18.22445034994936,0.0,0.0,0.0,0.0,0.004516129032258065,17722.898897485255,0.06604277876536539,12.025375919953335,0.0,0.0,0.0,0.0
TCGA-IB-7652,10264,0.0,0.0,0.0,0.0,0.07073265783320343,24146.276744465034,0.09781481278224435,13.520159818421913,9.742790335151988e-05,0.0,0.0,16.47547377566212,0.0,0.0,0.0,0.0,0.08456742010911925,6931.960168025926,0.06473055993619674,14.499091639950064,0.5353663289166017,22185.307783817276,0.10055405363727309,13.306287746905465,9.742790335151988e-05,0.0,1.4802973661668753e-16,18.81982587088856,0.0,0.0,0.0,0.0,0.30904130943102104,15558.019011922732,0.08271741828870531,13.569522538414034,9.742790335151988e-05,0.0,3.700743415417188e-17,12.167302436206318
TCGA-IB-7654,6267,0.0,0.0,0.0,0.0,0.13355672570607946,17007.496245090184,0.1369861824949939,18.089886516750727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031913196106590075,1536.0,0.015308232264232039,14.732808995685833,0.6821445667783629,14859.289578610618,0.10863418878771029,13.917242859327208,0.0,0.0,0.0,0.0,0.00015956598053295037,0.0,3.700743415417188e-17,12.566670551984593,0.18382000957395883,11351.405520617616,0.05954865175112376,12.035336209635782,0.0,0.0,0.0,0.0
TCGA-IB-7885,5424,0.0,0.0,0.0,0.0,0.17901917404129794,24709.666708003617,0.08688085608819461,13.460362055869082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007374631268436578,1844.5187290709525,0.02780024403641268,15.7018313204576,0.7448377581120944,17887.015014574805,0.07443300455316797,12.406941911178011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07540560471976401,13430.616684460485,0.04927383111806103,11.93244433443788,0.0,0.0,0.0,0.0
TCGA-IB-7886,12741,0.0,0.0,0.0,0.0,0.10007063809748057,26845.20348135132,0.1252649548416626,15.305380055863415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1182010831174947,14315.542703966421,0.091447946801551,14.68938314931114,0.42445647908327444,24609.499116058003,0.10088210194347223,13.4418179108035,7.848677497841614e-05,0.0,0.0,18.63127976464171,0.0,0.0,0.0,0.0,0.3571148261517934,17628.83320664749,0.07428370571108381,12.935199700841054,7.848677497841614e-05,0.0,1.850371707708594e-17,11.904760610935739
TCGA-IB-7887,19459,0.0,0.0,0.0,0.0,0.03016599003032016,23371.632891757254,0.16146700982754394,18.27454643050446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011819723521249808,12460.317514755323,0.06960269451122036,14.297551147230616,0.8703427719821163,26820.64413887229,0.12282249144368816,15.157146660059933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09830926563543861,17652.4969789776,0.08361696148856172,13.055049316532553,0.0,0.0,0.0,0.0
TCGA-IB-7888,10518,0.0,0.0,0.0,0.0,0.01787412055523864,20983.127612975542,0.0944221890842022,13.10827269450325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021486974710020916,15724.848839884009,0.04983578272026917,14.7955751870628,0.8650884198516828,19997.945757053858,0.08439896452616881,12.531996564936678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09555048488305762,17020.41911828547,0.06059652062693133,11.904534913435352,0.0,0.0,0.0,0.0
TCGA-IB-7889,9628,0.0,0.0,0.0,0.0,0.01630660573327794,27141.970635158,0.09481999723828814,13.085601372829517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0931657665143332,12170.112969262143,0.06607187169109287,13.227311370407806,0.4843165766514333,22900.12100293141,0.09482838844565984,12.844412826964396,0.0004154549231408392,10154.875163734552,0.0398996736758089,16.365929831421973,0.0,0.0,0.0,0.0,0.4057955961778147,19047.770659168687,0.06967789504311693,12.363712666880922,0.0,0.0,0.0,0.0
TCGA-IB-7890,10750,0.0,0.0,0.0,0.0,0.05879069767441861,18300.01274680796,0.08499637974588942,13.522158578554377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069767441860465115,8571.05567721041,0.061842085093532805,14.428119384829303,0.5967441860465116,21799.676540242916,0.09767418340867041,13.924099734113641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3372093023255814,12499.334253265217,0.08681124011614959,13.705632098133588,0.00027906976744186045,329.70268204000195,0.05151555374867354,14.76429713036069
TCGA-IB-7891,10595,9.438414346389807e-05,0.0,7.401486830834377e-17,14.264298018115836,0.04492685228881548,19779.749458649974,0.14141084784286936,19.18678448145765,0.0007550731477111845,3900.867445474172,0.09388799277732114,17.665620530742558,0.0,0.0,0.0,0.0,0.08117036337895234,20129.247555540784,0.09232560455469074,14.59711093778963,0.6966493629070316,28590.614712689574,0.1215784374085959,14.094200167689502,0.06654082114204814,28875.76189640738,0.08049739297853424,16.484138816427023,0.0,0.0,0.0,0.0,0.10986314299197734,14095.94728135502,0.08386003938413994,13.390714418569903,0.0,0.0,0.0,0.0
TCGA-IB-7893,11446,0.0,0.0,0.0,0.0,0.02341429320286563,23868.68595517034,0.08516628115209084,12.873062497011281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030578367988817056,19789.12599275445,0.043765523194897384,14.509915875373908,0.34439979031976237,25508.387012132414,0.08879922532904434,12.957846886070886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6290407129128079,16251.827644374463,0.08770507120928976,13.561138336555342,8.736676568233443e-05,0.0,3.700743415417188e-17,15.362356113544411
