case_id,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,n_patches
C3N-01907,0.04957713619130942,0.011665208515602217,0.0,0.0,0.008165645960921552,0.0,0.0,0.9259259259259259,0.004666083406240887,0.0,3429
C3N-01997,0.0,0.22585898062204854,0.20322423058133854,0.0,0.18987135645660316,0.0003256798567008631,0.16039732942517504,0.0,0.1424849373066276,0.07783748575150627,6141
C3N-01998,0.0,0.5004350348027842,0.06830046403712298,0.00014501160092807424,0.0658352668213457,0.0021751740139211136,0.12311484918793504,0.0,0.20910672853828308,0.030887470997679814,6896
C3N-02010,0.0,0.25776566757493186,0.0,0.0,0.1410535876475931,0.0,0.0,0.1787465940054496,0.42243415077202545,0.0,11010
C3N-02069,0.0,0.25334168755221387,0.005012531328320802,0.0,0.2623224728487886,0.0004177109440267335,0.11946532999164577,0.0,0.3538011695906433,0.005639097744360902,4788
C3N-02295,0.4710894704808278,0.04503956177723676,0.0,0.0,0.003956177723676202,0.0,0.0,0.47991479001825926,0.0,0.0,3286
C3N-02573,0.0,0.11860258121940365,0.029595015576323987,0.0,0.1584334668446818,0.0,0.20271473075211394,0.0,0.48998664886515353,0.0006675567423230974,4494
C3N-02579,0.0,0.5580411124546554,0.0,0.0,0.008766626360338573,0.0003022974607013301,0.0,0.0,0.4322853688029021,0.0006045949214026602,3308
C3N-02585,0.0,0.2924426934097421,0.024534383954154727,0.0,0.08685530085959886,0.0,0.23173352435530087,0.0,0.26486389684813755,0.0995702005730659,5584
C3N-02589,0.14519427402862986,0.011451942740286299,0.0,0.0,0.005316973415132925,0.0,0.0,0.8376278118609407,0.00040899795501022495,0.0,2445
C3N-02590,0.02136386942403008,0.09177918304563322,0.0,0.0,0.0,0.0,0.0,0.8868569475303367,0.0,0.0,5851
C3N-02591,0.287718862535701,0.04818080218552093,0.0,0.0,0.008071526139326959,0.0,0.0,0.6468396870731404,0.0,0.009189122066310692,8053
C3N-02592,0.19548542625465704,0.15779092702169625,0.0,0.0,0.003725619110234495,0.0,0.0,0.6342318650010957,0.0,0.008766162612316459,4563
C3N-02697,0.0,0.01775147928994083,0.0,0.0,0.0,0.0,0.0,0.9822485207100592,0.0,0.0,845
C3N-02768,0.0,0.4482549929392778,0.00040346984062941297,0.0,0.05769618721000605,0.0,0.0,0.0,0.4924349404881985,0.0012104095218882388,4957
C3N-02939,0.0,0.5732741219216795,0.0004037141703673799,0.0,0.19317723052079128,0.0,0.0,0.0,0.23314493338716188,0.0,4954
C3N-02940,0.0,0.3328498912255257,0.0,0.00018129079042784627,0.04296591733139957,0.0,0.0,0.0,0.6240029006526469,0.0,5516
C3N-02944,0.0,0.31295602445277065,0.0,0.0,0.25655689213172944,0.0,0.04338394793926247,0.0,0.3871031354762374,0.0,5071
C3N-02971,0.0,0.13501981103322158,0.0,0.0,0.0,0.0,0.0,0.000203190084323885,0.8647769988824545,0.0,9843
C3N-02997,0.10431654676258993,0.010191846522781775,0.0,0.0,0.002398081534772182,0.0,0.0,0.8806954436450839,0.00019984012789768185,0.0021982414068745003,5004
C3N-02998,0.0,0.1562642369020501,0.0,0.0,0.0,0.0,0.0,0.8273348519362187,0.0,0.01640091116173121,2195
C3N-03000,0.0,0.3411458333333333,0.0,0.0,0.0,0.002170138888888889,0.0,0.6553819444444444,0.0013020833333333333,0.0,2304
C3N-03006,0.1590693257359924,0.011237733459955683,0.0,0.0,0.029439696106362774,0.0,0.0,0.8002532446976891,0.0,0.0,6318
C3N-03007,0.0,0.0062724014336917565,0.0,0.0,0.0,0.0,0.0,0.9910394265232975,0.002688172043010753,0.0,1116
C3N-03039,0.0,0.642773860418633,0.011992671145411138,0.0,0.038087835211815003,0.0009993892621175948,0.029926156237854645,0.0008883460107711954,0.2125923047026817,0.06273943701071567,18011
C3N-03061,0.0,0.19944001723023908,0.16174886926556106,0.0,0.03316821020891665,0.009045875511522722,0.05836743484815852,0.0,0.26060736592720224,0.2776222270083997,4643
C3N-03069,0.005523908165026756,0.5406525116519938,0.0034524426031417228,0.0,0.0783704470913171,0.0,0.005006041774555498,0.0,0.35525634386328325,0.011738304850681858,5793
C3N-03086,0.0,0.07791304347826086,0.0,0.00017391304347826088,0.03391304347826087,0.0,0.04591304347826087,0.0,0.8417391304347827,0.00034782608695652176,5750
C3N-03100,0.002421886679623262,0.381521901629541,0.0,5.979967110180894e-05,0.3466885932127373,0.0,0.0004783973688144715,0.011272238002690985,0.0026610853640304977,0.25489609807146063,33445
C3N-03173,0.0,0.7535697835099032,0.0,0.0,0.00046061722708429296,0.0,0.0,0.24596959926301243,0.0,0.0,4342
C3N-03190,0.01027170311464546,0.2861166335321405,0.13949635520212061,0.0001656726308813784,0.2808151093439364,0.0003313452617627568,0.05019880715705766,0.007786613651424784,0.20841616964877402,0.016401590457256462,6036
C3N-03211,0.0020842982862436313,0.32792959703566466,0.020379805465493284,0.0006947660954145438,0.10514126910606762,0.011347846225104215,0.025011579434923575,0.0,0.5069476609541455,0.0004631773969430292,4318
C3N-03426,0.0728042019258827,0.17785234899328858,0.0,0.0,0.0011672016340822876,0.0,0.0,0.743361540706157,0.004814706740589437,0.0,6854
