rank,gene_id
442,ENSG00000203950.6
443,ENSG00000101224.17
444,ENSG00000124459.12
445,ENSG00000109736.15
446,ENSG00000105464.3
447,ENSG00000134827.8
448,ENSG00000115266.12
449,ENSG00000238227.8
450,ENSG00000126746.17
451,ENSG00000127564.17
452,ENSG00000125912.11
453,ENSG00000136011.15
454,ENSG00000152219.5
455,ENSG00000100023.19
456,ENSG00000104356.11
457,ENSG00000189143.9
458,ENSG00000122873.12
459,ENSG00000080189.15
460,ENSG00000048649.13
461,ENSG00000157388.19
462,ENSG00000116138.13
463,ENSG00000118307.20
464,ENSG00000188130.14
465,ENSG00000174358.16
466,ENSG00000171729.14
467,ENSG00000080573.7
468,ENSG00000125843.11
469,ENSG00000124275.15
470,ENSG00000123104.12
471,ENSG00000261587.2
472,ENSG00000125879.5
473,ENSG00000073614.13
474,ENSG00000182156.10
475,ENSG00000187187.14
476,ENSG00000169692.13
477,ENSG00000197020.11
478,ENSG00000138386.17
479,ENSG00000162040.7
480,ENSG00000135945.10
481,ENSG00000180900.20
482,ENSG00000169550.14
483,ENSG00000223802.8
484,ENSG00000274276.4
485,ENSG00000099804.9
486,ENSG00000066855.16
487,ENSG00000166140.17
488,ENSG00000120159.13
489,ENSG00000015676.18
490,ENSG00000179041.4
491,ENSG00000164040.18
492,ENSG00000141527.18
493,ENSG00000007944.15
494,ENSG00000162761.14
495,ENSG00000174579.4
496,ENSG00000196975.16
497,ENSG00000152443.13
498,ENSG00000129911.9
499,ENSG00000132361.18
500,ENSG00000215148.11
501,ENSG00000132825.7
502,ENSG00000198648.11
503,ENSG00000106305.10
504,ENSG00000184560.8
505,ENSG00000122877.16
506,ENSG00000108671.11
507,ENSG00000137770.14
508,ENSG00000213585.11
509,ENSG00000204176.14
510,ENSG00000041880.14
511,ENSG00000237521.3
512,ENSG00000144061.14
513,ENSG00000198815.9
514,ENSG00000215853.3
515,ENSG00000067221.14
516,ENSG00000129862.7
517,ENSG00000147853.17
518,ENSG00000261787.2
519,ENSG00000130055.14
520,ENSG00000268988.1
521,ENSG00000123066.9
522,ENSG00000197343.11
523,ENSG00000129932.10
524,ENSG00000203722.8
525,ENSG00000265354.4
526,ENSG00000175287.19
527,ENSG00000197980.13
528,ENSG00000130720.13
529,ENSG00000105556.11
530,ENSG00000197555.9
531,ENSG00000039139.9
532,ENSG00000130449.6
533,ENSG00000165568.18
534,ENSG00000130703.17
535,ENSG00000178078.12
536,ENSG00000167384.10
537,ENSG00000205269.6
538,ENSG00000114857.18
539,ENSG00000180881.19
540,ENSG00000184840.12
541,ENSG00000213937.4
542,ENSG00000140848.17
543,ENSG00000090060.18
544,ENSG00000126391.14
545,ENSG00000060656.20
546,ENSG00000064726.10
547,ENSG00000136271.10
548,ENSG00000064545.15
549,ENSG00000168427.9
550,ENSG00000156958.15
551,ENSG00000051620.11
552,ENSG00000169490.17
553,ENSG00000102996.5
554,ENSG00000102048.16
555,ENSG00000167123.19
556,ENSG00000204444.11
557,ENSG00000123411.15
558,ENSG00000244219.7
559,ENSG00000165555.9
560,ENSG00000197275.14
561,ENSG00000198171.13
562,ENSG00000198585.12
563,ENSG00000185730.8
564,ENSG00000160211.19
565,ENSG00000151914.20
566,ENSG00000100731.16
567,ENSG00000168439.17
568,ENSG00000019485.13
569,ENSG00000166557.14
570,ENSG00000203499.12
571,ENSG00000124343.14
572,ENSG00000163788.14
573,ENSG00000080709.16
574,ENSG00000162664.17
575,ENSG00000169857.9
576,ENSG00000173480.11
577,ENSG00000198610.11
578,ENSG00000165821.12
579,ENSG00000160951.4
580,ENSG00000198753.12
581,ENSG00000100811.14
582,ENSG00000187866.10
583,ENSG00000165923.16
584,ENSG00000121417.14
585,ENSG00000112110.10
586,ENSG00000157927.17
587,ENSG00000169894.18
588,ENSG00000111834.13
589,ENSG00000110244.7
590,ENSG00000163605.15
591,ENSG00000142748.13
592,ENSG00000134531.10
593,ENSG00000120265.18
594,ENSG00000072682.19
595,ENSG00000140950.16
596,ENSG00000151743.11
597,ENSG00000132464.13
598,ENSG00000214226.9
599,ENSG00000169906.5
600,ENSG00000111269.3
601,ENSG00000181827.15
602,ENSG00000133835.17
603,ENSG00000188095.6
604,ENSG00000016602.9
605,ENSG00000163935.14
606,ENSG00000174010.9
607,ENSG00000138434.17
608,ENSG00000183044.12
609,ENSG00000116127.19
610,ENSG00000104825.17
611,ENSG00000136111.14
612,ENSG00000082458.12
613,ENSG00000130024.15
614,ENSG00000184014.8
615,ENSG00000095203.14
