rank,gene_id,cox_z,cox_p
90,ENSG00000147799.11,3.5905966294364933,0.00032992188739133744
91,ENSG00000203933.3,3.590012013860101,0.000330662720986016
92,ENSG00000175097.8,3.588386974100378,0.0003327301814249133
93,ENSG00000091583.11,3.5858083293051464,0.0003360357100930129
94,ENSG00000275553.4,3.585296248213746,0.00033669578573815523
95,ENSG00000115884.11,3.5844540860381353,0.0003377839766668296
96,ENSG00000178498.16,-3.5826001508233216,0.00034019112514046597
97,ENSG00000205649.9,3.5756229620942057,0.000349394904405809
98,ENSG00000182325.11,3.564789430137747,0.000364148419432448
99,ENSG00000204505.4,3.56033224506691,0.0003703858676571826
100,ENSG00000130193.8,3.5576526554279706,0.000374183650557509
101,ENSG00000283439.4,3.553901006930262,0.00037956205447697996
102,ENSG00000179950.14,3.542987843893297,0.00039562093829156777
103,ENSG00000186326.4,3.540075579940652,0.00040001245799606733
104,ENSG00000160349.10,3.536065442115564,0.0004061340719792013
105,ENSG00000136986.10,3.5276912427388547,0.0004192008191168284
106,ENSG00000206107.2,3.524235303127265,0.0004247069131885495
107,ENSG00000148335.15,3.50665840075746,0.0004537712686224495
108,ENSG00000178814.17,3.48284661501018,0.0004961125246687691
109,ENSG00000170619.10,3.4816282555648765,0.0004983750488253064
110,ENSG00000146378.6,3.4732324031195163,0.0005142298677229836
111,ENSG00000121351.8,3.4665396228590932,0.0005272040244147583
112,ENSG00000160948.14,3.4622293519854708,0.0005357204204811518
113,ENSG00000216588.9,3.4581774328932333,0.0005438430854063727
114,ENSG00000161133.16,3.456653190460011,0.0005469282413020718
115,ENSG00000286175.1,3.4550268152049495,0.0005502380945037294
116,ENSG00000148942.15,3.446823947638352,0.000567218079763624
117,ENSG00000197487.9,3.441212547271059,0.00057911343062648
118,ENSG00000095739.11,3.438809103668444,0.0005842790852543555
119,ENSG00000104412.8,3.435002421521305,0.0005925485338072038
120,ENSG00000179526.17,3.43396334312979,0.0005948246310389029
121,ENSG00000178522.14,3.429239452421874,0.0006052752648846186
122,ENSG00000205186.4,3.425172556912301,0.0006144090552811126
123,ENSG00000172000.7,3.419966650853859,0.0006262881301706126
124,ENSG00000197050.11,-3.4176292710989276,0.0006316908751261384
125,ENSG00000006047.13,3.4170872853248184,0.0006329498272551136
126,ENSG00000167080.9,3.414287882077416,0.0006394896681893438
127,ENSG00000101773.19,-3.410667534557905,0.0006480405781548931
128,ENSG00000111752.11,-3.394411572251704,0.0006877624685627012
129,ENSG00000179615.3,3.3923561674728746,0.0006929430201486938
130,ENSG00000018869.17,-3.3782305176352523,0.0007295389732700227
131,ENSG00000099399.6,3.372152926839828,0.0007458302322595963
132,ENSG00000103485.19,3.350201421985016,0.0008075281610382306
133,ENSG00000187954.13,3.3314153343923336,0.0008640557941219216
134,ENSG00000175606.11,3.3250930826123324,0.000883890200197637
135,ENSG00000263715.7,3.3146114030952463,0.0009177060380807127
136,ENSG00000138443.17,-3.2953318152741833,0.0009830552800998364
137,ENSG00000135723.14,3.287800262260109,0.0010097344988991427
138,ENSG00000140057.9,-3.2847681350804194,0.0010206632843555354
139,ENSG00000111790.14,-3.2654293782665844,0.0010929825640350632
140,ENSG00000006118.15,3.251004841300745,0.0011499789940571995
141,ENSG00000175398.2,3.2452749111095667,0.0011733728637991036
142,ENSG00000269058.6,3.243464080410812,0.0011808569895053133
143,ENSG00000242366.3,3.241887560010171,0.0011874086060151277
144,ENSG00000179388.9,-3.2417140646703295,0.0011881316560498907
145,ENSG00000152078.10,-3.2320945175735742,0.0012288640199112264
146,ENSG00000127483.19,-3.228171989512555,0.0012458404499867805
147,ENSG00000138821.13,-3.2234747305735114,0.001266454719537435
148,ENSG00000159882.13,-3.2212487887343353,0.0012763329988022274
149,ENSG00000188580.15,3.2173636742522818,0.0012937449350194584
150,ENSG00000160949.17,3.2087120461247465,0.0013333095194243358
151,ENSG00000184489.12,3.207528835017586,0.00133880638540166
152,ENSG00000177380.14,3.207436737624746,0.0013392351198185128
153,ENSG00000184502.4,3.205720243496672,0.0013472490088944392
154,ENSG00000188883.5,3.2053060597073886,0.0013491893450650627
155,ENSG00000154582.17,3.2009006338482573,0.0013699876776713334
156,ENSG00000104522.16,3.189401056048758,0.0014256793445051022
157,ENSG00000110108.10,3.185621999145122,0.0014444318803808315
158,ENSG00000148248.14,3.1853092446746993,0.001445993981074025
159,ENSG00000112852.7,3.176536295427088,0.0014904513785540217
160,ENSG00000152818.18,-3.1753647103884344,0.0014964828512761248
161,ENSG00000090612.22,-3.171838793644842,0.0015147706674795635
162,ENSG00000117054.14,-3.1706895345589956,0.0015207758550279077
163,ENSG00000102390.11,3.1682580900633033,0.0015335531473034828
164,ENSG00000156110.15,3.1612457960634077,0.0015709587261988928
165,ENSG00000100722.20,-3.1598279699559204,0.0015786231763380157
166,ENSG00000099800.8,3.1575896254688782,0.0015907932710624987
167,ENSG00000125864.14,3.1564940639247174,0.0015967813750221089
168,ENSG00000180999.11,3.1554261994673594,0.0016026380556394043
169,ENSG00000004961.15,3.154249437312787,0.0016091148801327072
170,ENSG00000103540.16,-3.153313546127821,0.0016142831570051712
171,ENSG00000076554.15,3.1510252686572273,0.001626984137919329
172,ENSG00000285991.1,3.148262185696346,0.0016424430555696148
173,ENSG00000268606.5,3.1411201788179453,0.0016830295481000156
174,ENSG00000110057.8,3.1372003459373183,0.0017056952995600267
